gene,pi_tissue_slope_rho,pi_tissue_slope_p,pi_tissue_young
TMEM57,-0.39999999999999997,0.6,0.73357177
LDLRAP1,-1.0,0.0,0.6451773
RP11-70P17.1,-0.19999999999999998,0.8,0.5978189
MAN1C1,0.0,1.0,0.84696454
SELENON,-0.39999999999999997,0.6,0.8571868
RP1-317E23.3,-1.0,0.0,0.75470555
MTFR1L,-0.39999999999999997,0.6,0.8651724
AUNIP,0.6000000000000001,0.3999999999999999,0.08477918
PAQR7,0.7999999999999999,0.20000000000000007,0.87954235
STMN1,-0.39999999999999997,0.6,0.6379314
PAFAH2,-0.7999999999999999,0.20000000000000007,0.5999187
EXTL1,0.19999999999999998,0.8,0.61260194
TRIM63,-0.19999999999999998,0.8,0.92602706
PDIK1L,0.19999999999999998,0.8,0.8017728
FAM110D,-0.7999999999999999,0.20000000000000007,0.7690138
CNKSR1,1.0,0.0,0.9485297
CEP85,-0.7999999999999999,0.20000000000000007,0.86351204
SH3BGRL3,-0.7999999999999999,0.20000000000000007,0.9305066
UBXN11,-0.7999999999999999,0.20000000000000007,0.86862326
CD52,0.7999999999999999,0.20000000000000007,0.77938086
DHDDS,-0.19999999999999998,0.8,0.8554311
RP3-476K8.3,-0.39999999999999997,0.6,0.58762205
HMGN2,-1.0,0.0,0.6253451
RPS6KA1,-1.0,0.0,0.9403297
RP5-968P14.2,-0.7999999999999999,0.20000000000000007,0.65548265
ARID1A,-0.7999999999999999,0.20000000000000007,0.6709273
PIGV,-0.19999999999999998,0.8,0.7620874
ZDHHC18,-1.0,0.0,0.9106798
SFN,0.39999999999999997,0.6,0.95354724
GPN2,-0.19999999999999998,0.8,0.701292
GPATCH3,0.7999999999999999,0.20000000000000007,0.37184978
NUDC,-0.7999999999999999,0.20000000000000007,0.78993523
TRNP1,-0.7999999999999999,0.20000000000000007,0.89728236
FAM46B,-0.39999999999999997,0.6,0.93937397
SLC9A1,-1.0,0.0,0.8153317
WDTC1,-1.0,0.0,0.36014014
TMEM222,0.39999999999999997,0.6,0.5750506
ACTG1P20,-0.6000000000000001,0.3999999999999999,0.5963871
SYTL1,-0.39999999999999997,0.6,0.9590661
MAP3K6,-1.0,0.0,0.91693175
FCN3,-1.0,0.0,0.59397924
GPR3,0.7999999999999999,0.20000000000000007,0.5295408
WASF2,-1.0,0.0,0.882624
AHDC1,-0.7999999999999999,0.20000000000000007,0.92376983
FGR,-1.0,0.0,0.91900796
RP1-159A19.3,0.19999999999999998,0.8,0.18587878
IFI6,0.0,1.0,0.69269335
FAM76A,0.19999999999999998,0.8,0.8329474
STX12,-0.19999999999999998,0.8,0.84427947
RP3-426I6.6,0.39999999999999997,0.6,0.7139753
PPP1R8,0.39999999999999997,0.6,0.7648173
THEMIS2,-1.0,0.0,0.9012517
RPA2,0.39999999999999997,0.6,0.12327787
XKR8,-1.0,0.0,0.85910416
EYA3,1.0,0.0,0.58053225
SPCS2P4,0.19999999999999998,0.8,0.20846063
PTAFR,-1.0,0.0,0.8935018
DNAJC8,-0.39999999999999997,0.6,0.8454587
ATPIF1,-0.19999999999999998,0.8,0.7210331
RP5-1092A3.4,0.39999999999999997,0.6,0.40625
SESN2,0.19999999999999998,0.8,0.2933586
MED18,-0.19999999999999998,0.8,0.3496047
PHACTR4,-0.7999999999999999,0.20000000000000007,0.8543923
