gene,pi_tumor,pi_patient,pi_residual
PPP1R35,0.23937345481217914,0.4872754462063865,0.27335109898143434
POLR2H,0.23927167928970267,0.4005261047019399,0.36020221600835745
CTHRC1,0.23915584375526475,0.5709091148495803,0.18993504139515494
PDCD5,0.23907790496430661,0.45244947229300086,0.3084726227426925
FOSB,0.2389686826739461,0.5070250774841906,0.2540062398418633
CHPF2,0.238740133084195,0.4821118298434088,0.2791480370723962
PDK4,0.2381591662585741,0.511845173561997,0.2499956601794289
RPN2,0.23797633483461025,0.44542851228059877,0.31659515288479095
CCT3,0.2378430241176143,0.3974864390238085,0.36467053685857725
PMM2,0.23748914798828902,0.4987400775956444,0.26377077441606656
ACACB,0.23742861164315057,0.49564506493983074,0.2669263234170187
KLF9,0.23705577806493022,0.5245862189991752,0.23835800293589457
CDK1,0.2368785026084509,0.5008343501434422,0.26228714724810687
TMEM132A,0.23687611808266174,0.557871937034011,0.2052519448833273
TMOD1,0.23629304173019572,0.43621577792502214,0.3274911803447821
METTL26,0.23604158261579636,0.4653328419023179,0.2986255754818858
CD276,0.2351872702542593,0.5022944931248597,0.2625182366208809
CBX3,0.2346476138962135,0.532186067780691,0.23316631832309548
FBXL6,0.23376240566996176,0.4849481778180632,0.28128941651197503
CD3EAP,0.23368340305394655,0.4878022347472648,0.27851436219878867
BBC3,0.2336060854893886,0.45909771288190176,0.30729620162870963
KPNA2,0.23355428393505723,0.5046345503867763,0.26181116567816654
TONSL,0.23329497902315405,0.4642530025953045,0.3024520183815415
ECT2,0.2332463141056751,0.5261390422387386,0.24061464365558624
SNRPB,0.23241834594082014,0.5080738461711594,0.2595078078880206
FAXDC2,0.2320037231999718,0.5144151530192055,0.2535811237808227
ATXN2L,0.2315417353905532,0.5050560999528412,0.26340216465660565
CBX8,0.23093114466546466,0.39937913242884654,0.3696897229056888
TARS,0.2304588720266893,0.4389971212913294,0.33054400668198136
GGCT,0.22934973057342134,0.5168828078240465,0.25376746160253216
TSPAN7,0.22929703996981252,0.4318427540727558,0.33886020595743177
OGN,0.2291310349726914,0.5340469665543629,0.23682199847294572
BLM,0.22912194787864007,0.5725944367350505,0.19828361538630948
EPM2A,0.22848877595466366,0.5065720073892873,0.264939216656049
CCT6A,0.2282205919677655,0.46146045504512334,0.31031895298711115
VARS,0.22807373841010267,0.4142086387918113,0.357717622798086
PRR11,0.22801450140162827,0.5643253923803637,0.20766010621800804
RBCK1,0.22791788290012796,0.39818229095895197,0.37389982614092004
CENPK,0.22762528245589517,0.5418220026508562,0.23055271489324863
NME2,0.22761447610166557,0.483964274076362,0.28842124982197237
SLC25A25,0.22760779229731093,0.42968242063073725,0.3427097870719518
HBB,0.22726248879122604,0.5317530196949185,0.24098449151385548
FGF14-AS2,0.22643371735312487,0.5488596992535864,0.22470658339328878
ARHGAP11A,0.2263752071331095,0.5563400007876181,0.21728479207927234
CHTF18,0.22616536584632796,0.5257653470210509,0.2480692871326211
NOMO2,0.22612459285209985,0.5011322988898205,0.27274310825807974
HMGB3,0.22599166716891178,0.4284096962827434,0.34559863654834483
CLDN5,0.22587482535570036,0.39745314209667404,0.3766720325476256
DSN1,0.22577249464143956,0.45513280877586304,0.3190946965826974
HSPB7,0.22550886332436823,0.4802532111240226,0.29423792555160916
NR3C2,0.2249131577985423,0.5565042107685895,0.2185826314328682
DEPDC1B,0.22463939980320374,0.4417400987692949,0.3336205014275014
INTS13,0.2246113293864058,0.4726368476349144,0.3027518229786798
TBRG4,0.22436987026637042,0.48537321502124153,0.29025691471238807
EPRS,0.22399296754911627,0.49687538482428945,0.2791316476265943
FHL1,0.22374074324029702,0.414686146865042,0.36157310989466096
LIG1,0.22371267881644627,0.4596390709538934,0.3166482502296603
POC1A,0.22353048851450155,0.4963580961456433,0.2801114153398551
PPP4C,0.22239953997550066,0.4343375494121705,0.3432629106123288
C1orf112,0.22190280426177056,0.4849455434589527,0.2931516522792768
MAZ,0.22169638062799032,0.5436663327986616,0.23463728657334804
MARS,0.221669368890595,0.48438628926246946,0.2939443418469355
MMRN1,0.2215509135993664,0.4123892512746484,0.36605983512598517
NR2C2AP,0.22138525508280527,0.5022881321585237,0.276326612758671
FANCA,0.2208680628630326,0.557544533302257,0.22158740383471043
PTTG1,0.22062263409241448,0.5816578944890198,0.1977194714185657
YDJC,0.22059226982634864,0.4980706038853613,0.2813371262882901
ATOH8,0.2203889769522721,0.5404531477397911,0.2391578753079368
IL33,0.2203245183463453,0.4393388134707698,0.3403366681828849
RPUSD1,0.22021198775739179,0.5004497371001653,0.27933827514244297
PRR7,0.21967316500722198,0.5116668190271971,0.2686600159655809
HIF3A,0.21948391812151524,0.4949397111515367,0.28557637072694814
