"","donor","tissue","age_mid","Residuals"
"GPC1",0.00308733766737188,0.943445399266732,5.48838383813301e-05,0.0534123792275151
"AC132008.1",0.117459731329854,0.569603827641106,0.00933273280734037,0.303603708221699
"SLC44A3",0.0290197649773712,0.860126316916796,0.00260981699565926,0.108244101110174
"HLA-C",0.0309661865879057,0.83929760364616,0.000293441175100765,0.129442768590833
"RPL29",0.0163779723817384,0.606245783337745,7.16297372542042e-05,0.377304614543263
"KIAA0040",0.0544679310089516,0.457632834968834,0.00802295615739193,0.479876277864823
"ZNF589",0.0459330611989213,0.745477074907737,0.000225369704111309,0.20836449418923
"CTB-113I20.2",0.0453022393377993,0.719667322787193,0.00351311318674495,0.231517324688262
"TMEM59",0.00292129583744923,0.627497860072532,0.00421367569779029,0.365367168392229
"KIF9-AS1",0.0232788503177492,0.720485452466868,0.0038263371643708,0.252409360051012
"PFKFB4",1.29442454474119e-13,0.833951451255199,8.89169816692289e-06,0.166039657046504
"GPBP1L1",0.0031842027340543,0.626088025792024,0.00048313250670816,0.370244638967213
"AC053503.6",0.0291755548751104,0.658558197368023,0.00848163218960281,0.303784615567264
"MED7",0.00500589295972532,0.695853066871968,0.00047001656680337,0.298671023601504
"SCN7A",0.0658600978392915,0.445548863593432,0.000615425662331242,0.487975612904945
"KDM1A",0,0.8207964257231,1.53767800428733e-05,0.179188197496857
"GALE",0.0377363666025923,0.723455770318695,0.000370746353488797,0.238437116725224
"NRN1",0.00174614521806133,0.88527355414279,0.000347501455036176,0.112632799184113
"SLBP",0,0.691754413210072,2.32805154781848e-05,0.30822230627445
"RANBP2",0.0111857480047579,0.681908909525027,0.000252758403226956,0.306652584066988
"PTGER3",0.00248854798903114,0.89995834072945,0.00135716574603463,0.0961959455354846
"PEAR1",0.00356842450044375,0.898806000930066,2.23223041314015e-05,0.0976032522653591
"NRG2",0.0209674465215758,0.591032172110154,0.000590936768107599,0.387409444600163
"POLR2D",0.0304770301497116,0.666789484490438,0.00461402806415324,0.298119457295698
"CTC-203F4.2",0.0937486296184623,0.579927825397398,0.00078008526331796,0.325543459720822
"MFN2",0.00616313833350287,0.587370569243509,0.00359310760190937,0.402873184821079
"ATG4C",0.0560399847775205,0.713712698656171,0.00143231739394733,0.228814999172361
"ENTPD3-AS1",0.0749383678432483,0.739767762367795,0.000103380338955042,0.185190489450002
"FAM49A",0.0125860403812286,0.717063341777682,0.00127501943381259,0.269075598407277
"FAT1",0.0121793507520856,0.937449406027258,0.000168755437836798,0.05020248778282
"DTX3L",0.0711907899530487,0.451070820802688,0.00187368998481179,0.475864699259451
"B4GALT3",0.0514378294031972,0.564344379977097,0.000589661828054637,0.383628128791651
"KIAA1524",0.0521586574304018,0.531256781060726,0.00470972161663586,0.411874839892236
"MAP4",0.00305391312243917,0.927417098867165,0.000270198911479906,0.0692587890989158
"MAST4",0.00688429188669364,0.853541186120063,0.000634613677466604,0.138939908315777
"RP11-843P14.1",0.0262384309105784,0.644061749319047,0.00266649938407261,0.327033320386302
"SPARCL1",0.00653655201516246,0.954087441086168,7.35419577671185e-06,0.0393686527028923
"VEGFC",0.0137572033142767,0.877701495855141,0.000904278894728152,0.107637021935854
"TMCC1",0.0195023796851627,0.508187447732111,2.06988443021385e-05,0.472289473738424
"GRB14",0.0217100054859391,0.71704002610479,8.37059381897612e-05,0.261166262471081
"RP11-448G15.3",0.0260455076814457,0.670560832002856,3.43333678630148e-05,0.303359326947835
"F11R",4.19327707811838e-12,0.870505037533086,1.87901324494149e-06,0.129493083449476
"MED28",0.0173554118922067,0.457675771311981,6.60949933269529e-05,0.524902721802485
"ZCCHC4",0.0159595087233998,0.834015293139189,1.2310547154925e-05,0.150012887590256
"SENP7",0.0176674801009007,0.707958531957716,0.00100478383630773,0.273369204105075
"SIL1",0.00620566140271435,0.64819445258395,0.000113923384379917,0.345485962628955
"PAPD7",0.00799424927106587,0.811505488236058,0.00100384580586698,0.179496416687009
"RAB24",0.0120162855330378,0.698197540734969,0.000246189251014096,0.289539984480979
"EIF2A",0.0195829098540844,0.712484477052803,0.000387795174051561,0.267544817919061
"METAP1D",0.095188288617905,0.739096492918884,0.000954708193086318,0.164760510270125
"RP11-95D17.1",0.0532847822811524,0.788758442628912,0.000524838865482896,0.157431936224453
"FBXL17",0.0244706435143259,0.826184308845855,0.000428468607982055,0.148916579031837
"ZSWIM6",0.00613485952620067,0.646363578559892,0.00235528184084771,0.34514628007306
"CTA-253N17.1",0.0182189412945062,0.480705240468096,0.000107392917015437,0.500968425320382
"RGL2",0.0155314840513172,0.618907546716067,0.00238873476913794,0.363172234463478
"HHAT",0.0504265007200594,0.848080899200487,0.00200925767180256,0.0994833424076506
"PPP2R3A",0.0100616595893266,0.86920509492515,0.00134037056214135,0.119392874923382
"C6orf106",0.0212495176727572,0.682943321338529,0.00346629495804858,0.292340866030665
"ADAMTS2",0.011738336077225,0.677237601199373,4.68833264272895e-05,0.310977179396974
"AHRR",0.120399426322674,0.666290406731785,6.37383970024966e-06,0.213303793105841
"PRELID1",0.0226133328677894,0.76232047821826,0.003140279111343,0.211925909802607
"RP11-34P13.15",0.0393353064686671,0.838158071668595,0.000154412331686161,0.122352209531052
"TYW3",0.00614850098963264,0.909280062556843,4.0133123610744e-07,0.0845710351222883
"RP11-379F4.7",0.0707645457000637,0.501038793719767,0.000858226013597746,0.427338434566572
"SASS6",0.056788348505642,0.650936958391812,8.9488395907823e-05,0.292185204706638
"SNORA66",0.0622941363729188,0.515940633132791,0.0131274356750139,0.408637794819276
"CALCRL",0.0139735653289847,0.89162936078272,0.000614306793386092,0.0937827670949089
"CYR61",0.0223805896542535,0.85673178807778,0.00710988693264302,0.113777735335324
"CRYZ",0.0530365008984231,0.848983458143825,0.000527223107444299,0.0974528178503072
"DCTN4",0.0148393786636778,0.569184328541041,0.00201106866114373,0.413965224134138
"GMCL1",0.00574100700021714,0.728548345034052,0.00204828549615675,0.263662362469574
"RP11-305K5.1",0.0410590160790335,0.721788360749699,0.00032381753293525,0.236828805638332
"LIFR",0.0246932566866798,0.89615397759918,0.000547083392693385,0.0786056823214467
"ZNF654",0.0235481558210122,0.580023391498259,9.27500678729961e-05,0.396335702612856
"FMO2",0.0349096682583106,0.852380637614235,9.8257243852472e-06,0.112699868403069
"LOXL3",0.0325656191278834,0.758645769239045,0.00349025904802594,0.205298352585046
"ELL2",0.0664401975399583,0.686096655272347,1.90079551471813e-05,0.247444139232548
"ARHGAP29",0.00689323474744351,0.936021452090166,0.000803636598685432,0.0562816765637056
"HEYL",0.00820382399126986,0.904613010145333,0.000187404648708262,0.0869957612146885
"UBE2T",0.0759017906006509,0.498993505723119,0.000307571659904308,0.424797132016325
"DBI",0.026102720612057,0.812578150771035,0.00241636979754985,0.158902758819358
"LARP1",0.00623725125716302,0.830834513809992,0.00132456187716592,0.161603673055679
"HPGD",0.0250660795203082,0.662626555374296,0.00296327857091564,0.30934408653448
"NBL1",0.00614713341024505,0.944410839540329,0.000842730276897662,0.0485992967725284
"KDR",0.00850630841350153,0.904841696927257,4.14736361034011e-05,0.0866105210231381
"CD1D",0.0604243683984977,0.680645939485226,0.000856256005084916,0.258073436111191
"LY75",0.0460502611132303,0.746437573810157,0.00124150035674976,0.206270664719862
"CCNG1",0.015508911018545,0.67386498690404,0.000487273442724693,0.310138828634691
"C4orf36",0.0294077707084048,0.820701120275201,0.00285096686397389,0.147040142152421
"SCFD2",0.0432657477766124,0.698013913393005,0.000567912759398004,0.258152426070985
"SIDT1",0.0324869588684607,0.55553416169135,0.00428820083497892,0.40769067860521
"COMMD1",0.00859497818325453,0.799092767530998,9.92525939112164e-06,0.192302329026357
"BRE",0.0173340524249315,0.438130084531979,0.00193018145170018,0.54260568159139
"OCIAD1",0,0.775776825130688,3.35390244228322e-05,0.224189635844889
"DNM3",0.0338619982738717,0.763302940003444,0.0016526040018034,0.201182457720881
"MEF2D",0.00464792156823879,0.757136499548355,0.000121547799849954,0.238094031083556
"RP11-342K6.2",0.0619696136366316,0.574729883837534,0.000820414493354911,0.362480088032479
"ATP6AP1L",0.0940136823895029,0.736136862304485,0.00250541624406441,0.167344039061948
"CBR4",0.00737498439340514,0.774755624135667,2.71142452268604e-07,0.217869120328476
"ATAD3C",0.0318095135509107,0.874143105259501,0.000892829280013426,0.0931545519095749
"PIK3CB",0.030480339446156,0.402176038442044,0.00512155323044107,0.562222068881359
"MTHFR",0.0503669374760805,0.583193997343666,0.00386663169266296,0.36257243348759
"WDR75",0.00979134912344161,0.822998430136398,0.000169441301868745,0.167040779438292
"ADI1",0.029944823248881,0.792901091632993,0.000779553921538157,0.176374531196588
"GOLIM4",0.0180125548619921,0.89753536887584,0.00172283197049737,0.0827292442916704
"CD302",0.018191185111441,0.787798477671848,0.00163600473500603,0.192374332481705
"C5orf15",0.00481575586860244,0.732689860301532,0.00063403980061251,0.261860344029253
